Data from Subt4_12-25-19-333.txt Node,
Date: Fri Oct 29 12:25:19 BST 2021,
User: php21ajb,
Spectrometer: HR+D0521,
Trigger mode: 0,
Integration Time (sec): 1.000000E-1,
Scans to average: 100,
Electric dark correction enabled: true,
Nonlinearity correction enabled: false,
Boxcar width: 0,
XAxis mode: Wavelengths,
Number of Pixels in Spectrum: 2048,
>>>>>Begin Spectral Data<<<<<,
406.591,1982.04
407.053,988.28
407.514,239.47
407.976,63.58
408.438,28.06
408.9,16.02
409.362,10.73
409.823,9.95
410.285,6.49
410.747,5.19
411.209,3.04
411.67,4.89
412.132,4.37
412.593,2.7
413.055,2.09
413.516,1.17
413.978,1.48
414.439,1.08
414.901,3.16
415.362,2.88
415.824,0.87
416.285,1.95
416.746,1.33
417.208,2.44
417.669,-0.36
418.13,2.07
418.591,1.76
419.052,1.24
419.514,1.4
419.975,2.41
420.436,1.03
420.897,-0.02
421.358,0.57
421.819,0.23
422.28,-1.1
422.741,0.93
423.202,0.9
423.662,1.96
424.123,-0.49
424.584,1.77
425.045,-0.22
425.506,0.67
425.966,1.7
426.427,-0.31
426.888,1.66
427.348,-0.11
427.809,1.56
428.27,-0.79
428.73,1.12
429.191,-0.58
429.651,2.48
430.112,-0.27
430.572,0.19
431.032,2.27
431.493,1.07
431.953,2.65
432.414,0.51
432.874,-0.6
433.334,1.54
433.794,-0.71
434.254,-1.5
434.715,1.99
435.175,-0.66
435.635,-0.26
436.095,1.38
436.555,-0.92
437.015,1.44
437.475,1.6
437.935,3.46
438.395,2.03
438.855,-2.27
439.315,-0.18
439.775,-2.52
440.234,-0.04
440.694,2.87
441.154,2.61
441.614,0.91
442.073,1.33
442.533,-0.4
442.993,2.02
443.452,0.84
443.912,-0.34
444.372,0.15
444.831,-0.29
445.291,0.68
445.75,-1.6
446.21,-0.01
446.669,-1.72
447.128,-0.47
447.588,-2.05
448.047,1.74
448.506,-0.59
448.966,0.31
449.425,-0.13
449.884,0.85
450.343,-0.29
450.802,1.35
451.262,0.78
451.721,2.33
452.18,-0.09
452.639,0.18
453.098,0
453.557,1.02
454.016,-1.61
454.475,0.47
454.934,-0.19
455.392,-1.43
455.851,1.28
456.31,0.81
456.769,1.78
457.228,-0.16
457.686,-1.31
458.145,-4.07
458.604,0.74
459.062,-0.23
459.521,-0.66
459.98,1.1
460.438,0.43
460.897,-0.53
461.355,0.69
461.814,-1.28
462.272,0.76
462.731,-0.48
463.189,0.69
463.647,0.13
464.106,-0.2
464.564,1.48
465.022,0.34
465.481,-0.11
465.939,1.39
466.397,0.59
466.855,-2.19
467.313,0.12
467.771,0.24
468.229,-1.33
468.687,0.13
469.145,1.96
469.603,1.61
470.061,-0.66
470.519,-0.64
470.977,-1.16
471.435,-1.68
471.893,2.01
472.351,-1.52
472.809,-0.93
473.266,1.04
473.724,-0.78
474.182,0.68
474.64,0.34
475.097,0.05
475.555,1.42
476.012,-0.58
476.47,-1.26
476.928,-0.21
477.385,0.53
477.843,0.67
478.3,1.01
478.757,-0.23
479.215,-1.15
479.672,-3.26
480.13,0.74
480.587,0.59
481.044,3.56
481.501,1.82
481.959,0.96
482.416,1.16
482.873,-0.84
483.33,0.58
483.787,1.3
484.244,1.02
484.701,1.14
485.159,1.62
485.616,-1.88
486.072,-0.21
486.529,0.64
486.986,0.98
487.443,1.59
487.9,-0.54
488.357,0.38
488.814,2.41
489.271,-1.24
489.727,0.83
490.184,0.91
490.641,-0.2
491.097,-0.34
491.554,-1.66
492.011,-1.37
492.467,-1.12
492.924,-0.92
493.38,-1.04
493.837,0.69
494.293,-0.92
494.75,0.08
495.206,1.43
495.663,-0.94
496.119,0.27
496.575,2.05
497.032,1.96
497.488,0.81
497.944,0.26
498.4,0.52
498.857,1.47
499.313,0.24
499.769,-1.06
500.225,1.15
500.681,1.34
501.137,1.14
501.593,-0.52
502.049,-1.02
502.505,-0.88
502.961,-0.74
503.417,-0.3
503.873,1.78
504.329,0.95
504.785,-1.45
505.241,1.58
505.696,1.24
506.152,0.55
506.608,0.66
507.064,-0.39
507.519,-0.58
507.975,0.67
508.431,1.51
508.886,0.24
509.342,-2.05
509.797,-2.02
510.253,0.09
510.708,0.42
511.164,3.05
511.619,3.01
512.075,0.27
512.53,-0.35
512.985,1.28
513.441,1.44
513.896,1.25
514.351,-0.21
514.806,0.35
515.262,-0.3
515.717,-1.51
516.172,-2.29
516.627,1.47
517.082,0.93
517.537,-1.31
517.992,-1.55
518.447,0.03
518.902,1.11
519.357,-0.47
519.812,-0.55
520.267,0.63
520.722,-2.34
521.177,2.57
521.632,-0.78
522.087,0.79
522.541,0.45
522.996,-0.92
523.451,0.59
523.906,-0.43
524.36,0.59
524.815,0.84
525.27,0.05
525.724,-0.69
526.179,-0.43
526.633,-1.27
527.088,1.71
527.542,0.46
527.997,1.91
528.451,2.34
528.906,0.22
529.36,0.17
529.814,-1.32
530.269,-0.95
530.723,0.4
531.177,-0.36
531.631,0.81
532.086,0.69
532.54,1.25
532.994,1.95
533.448,1.13
533.902,-0.18
534.356,0.64
534.81,-0.04
535.264,-0.6
535.718,-0.2
536.172,0.72
536.626,2.96
537.08,-0.67
537.534,1.46
537.988,2.63
538.442,1.02
538.896,1.84
539.349,0.25
539.803,-0.83
540.257,-0.31
540.711,0.49
541.164,0.41
541.618,-0.95
542.072,-0.7
542.525,0.08
542.979,0.21
543.432,1.82
543.886,0.05
544.339,1.56
544.793,1.17
545.246,1.41
545.7,-0.08
546.153,1.15
546.606,-0.97
547.06,1.32
547.513,-1.23
547.966,0.38
548.42,-0.99
548.873,2.36
549.326,1.47
549.779,1.74
550.232,-0.81
550.685,0.03
551.138,1.3
551.592,0.88
552.045,0.49
552.498,-0.4
552.951,0.59
553.404,0.26
553.856,-0.12
554.309,0.22
554.762,0.05
555.215,0.15
555.668,1.92
556.121,1.59
556.574,1.28
557.026,2.24
557.479,-1.31
557.932,0.08
558.384,2.46
558.837,-1.16
559.29,1.38
559.742,-0.89
560.195,0.5
560.647,-1.06
561.1,-0.86
561.552,0.41
562.005,0.95
562.457,0.63
562.91,0.45
563.362,1.1
563.814,-0.02
564.267,1.33
564.719,0.91
565.171,0.02
565.624,-0.15
566.076,1.87
566.528,-0.85
566.98,1.26
567.432,2.1
567.884,1.73
568.337,-0.87
568.789,0.8
569.241,-0.04
569.693,0.98
570.145,1.32
570.597,-1.74
571.049,0.58
571.5,1.56
571.952,1.44
572.404,-1.01
572.856,-2.39
573.308,2.3
573.76,2.24
574.211,1.25
574.663,0.76
575.115,-1.21
575.567,2.6
576.018,2.38
576.47,0.63
576.921,1.38
577.373,0.68
577.825,-0.09
578.276,3.2
578.728,-0.27
579.179,0.77
579.63,0.05
580.082,-1.65
580.533,-0.32
580.985,2.2
581.436,0.65
581.887,1.27
582.339,-0.78
582.79,1.77
583.241,1.76
583.692,-0.6
584.144,-0.64
584.595,0.27
585.046,-0.25
585.497,0.1
585.948,-0.3
586.399,0.22
586.85,-0.54
587.301,1.26
587.752,-0.92
588.203,-1.62
588.654,-0.83
589.105,-0.54
589.556,0.47
